"ID","Type","Name","Documentation","Source","Target","Specialization"
"285afe0e-6920-48bb-85dc-0794f5eb2ad8","AccessRelationship","","","d489ff5e-6c55-4351-bc61-5d2f7ff52e54","78cd1fed-161f-4926-a98c-a8d99f3aef58",""
"2999ce66-6dbb-49dc-a3c6-b7bde129e2e8","AccessRelationship","","","1f4dc672-97ff-4f00-8b2b-20e42d40daa5","ffbe63c8-7046-4f8d-97ce-c83a74116967",""
"2a0d27f9-80d2-4f50-99e8-497e3e011aad","AccessRelationship","","","13e0bed5-2e8c-4178-a392-b9b7080c92d6","84e97d09-ad79-43a3-bd1f-15b0ef8ca032",""
"2a471700-e336-44f9-98b3-bfcf5526f8b5","AccessRelationship","","","9c015bfb-b80c-40de-b40d-80abe47553b6","ea203d98-af14-445a-b44a-3471e0c88710",""
"2ac1869d-09de-486c-b7f1-519670146a34","AccessRelationship","","","741b5780-1beb-4cea-b0a4-d70f0f050601","06619237-98c0-49d5-8134-08b7400eafc3",""
"2b2ec001-78dc-4d18-ab59-a47dff27e7c9","AccessRelationship","","","029eec0c-36b5-42e0-8bed-96cd6d7182c4","5d9b53ba-66e5-4951-afbe-b67f1386d462",""
"2b7c0ff6-275c-41e8-8a10-e81f204efdb9","AccessRelationship","","","491183c1-dd93-428b-a1aa-e8ba4bd51c57","f6105dcf-0a13-4c12-85d9-e449652b0b9c",""
"2c33c582-0dbc-47a6-9e20-e81a37428405","AccessRelationship","","","e51ea540-dbc6-4fe6-b89a-ea4643919bd8","369a37e4-1d00-4514-b4ad-e7fa50386aa1",""
"2c550b4b-a3d7-4a19-ac50-0279021beb26","AccessRelationship","","","992bbd31-9b6a-4185-96a4-2f9aba857ac1","e65566b5-1d74-4440-91e1-bbbffae5fd4b",""
"2c5db6d2-bfff-4196-9f93-77ed2904b5a6","AccessRelationship","","","dd630d51-558b-4ccc-9091-5f0822ff4d02","9cd824a5-310f-47ca-995a-9934f027965c",""
"2c7538f5-8d0d-4427-9b96-febae31281d9","AccessRelationship","","","9c83d5ef-01d7-4808-ad06-e4493fbf9cf6","f6105dcf-0a13-4c12-85d9-e449652b0b9c",""
"2cf6bb08-7567-4740-8eb4-4a14a1c6c0c1","AccessRelationship","","","46416b34-95e9-4757-9c59-ca9f291ea39b","1cd9a51f-2e0f-4ca4-9b46-41b4069810eb",""
"2cf6df3f-4d1f-4922-a6dc-d561b073a5d0","AccessRelationship","","","7095441f-861e-4a75-a5b7-5f65c9d58466","e22f055a-9433-4ee7-ae89-ecf17e132e79",""
"2d0022e3-43dc-4e65-8b12-f62c66203dea","AccessRelationship","","","af9e0d82-de0d-4bfd-93e7-1a3253e43e8c","6f68b4bb-aa7d-43ae-9a7c-fd4610cd7cfd",""
"2e182a72-f32b-431f-ac3e-204c68f27437","AccessRelationship","","","029eec0c-36b5-42e0-8bed-96cd6d7182c4","0011d823-78e2-4606-9b9e-09d8b02a08d1",""
"2e9be134-d14b-4b1b-9bcf-b241e8676bc0","AccessRelationship","","","6fab2289-0d98-43f7-98e5-516aa0e46709","fe027c4d-a4f1-4ce1-af81-64dcc6f5416b",""
"2f62914a-275b-43cd-9613-e02c5e4a00b3","AccessRelationship","","","491183c1-dd93-428b-a1aa-e8ba4bd51c57","8e3bb868-87cc-4d20-9d14-bd64fd535499",""
"2fbcefbc-6632-4d13-9826-9d0941057fe9","AccessRelationship","","","dd630d51-558b-4ccc-9091-5f0822ff4d02","8b95999a-c8e0-49cb-9aff-ddc51c4ba995",""
"2fd6c254-0cd2-4a4a-9a55-1894b92bd261","AccessRelationship","","","83d72c0b-f74b-4619-9684-cf9cd7aad05d","ebd0e90c-ec92-4125-a1ac-3f1b8cd278d7",""
"2ff2cfbc-2ea2-40d4-8a09-1833b940be95","AccessRelationship","","","46416b34-95e9-4757-9c59-ca9f291ea39b","1676b914-b386-4251-baca-a7a1b35767ab",""
"301c43c9-a050-4388-9aa5-d30b0976971d","AccessRelationship","","","def60c92-d482-4f16-97a9-405f63db813a","9abc00a2-ef3c-486a-89c4-3b9e16d012fe",""
"34687867-a60e-4380-9263-374f0715db49","AccessRelationship","","","9c83d5ef-01d7-4808-ad06-e4493fbf9cf6","e65566b5-1d74-4440-91e1-bbbffae5fd4b",""
"347f0977-b8dc-4665-beeb-b182ee414db1","AccessRelationship","","","13e0bed5-2e8c-4178-a392-b9b7080c92d6","ffbf9e81-7d99-4cb7-9bb7-a0f3f016d5ef",""
"3506c29e-b36e-4e47-9315-a80bf17466f8","AccessRelationship","","","be1b5c92-0387-4725-83aa-85e146694e2c","75fc9cd9-d84b-4606-a0e4-24e338efb490",""
"378ff198-6665-4c6b-a0e0-846fb0cf16f9","AccessRelationship","","","9c83d5ef-01d7-4808-ad06-e4493fbf9cf6","b47ab109-68f7-4ecd-8ce6-8d45ba137a58",""
"37e2c819-ac58-4fc3-9a81-3ad34920c7b4","AccessRelationship","","","d25855a7-e8a3-4aa1-9801-7adcd555a4e8","b0338605-ba64-4de6-bebc-1b291cfce6ed",""
"38aac739-43c7-4026-8d25-b703f2f1a468","AccessRelationship","","","d489ff5e-6c55-4351-bc61-5d2f7ff52e54","79348313-ecd9-4cf5-9d1a-4601ab702315",""
"398d63ca-743e-4db5-9c63-79d239836a09","AccessRelationship","","","13e19b84-beca-474c-8ab9-9d006c72bffb","dc9bf07b-fc5f-4926-acae-ed53f0264ded",""
"3a40bd35-6cea-4b53-8305-9764f2bffa6d","AccessRelationship","","","b8ac0880-99a6-478a-bf9d-ea454b055bd1","71295167-90da-4086-9b97-0152ebcbc6ca",""
"3a8b3b54-4093-42fc-8b0b-fbf0f151272e","AccessRelationship","","","e51ea540-dbc6-4fe6-b89a-ea4643919bd8","fdbac9c5-28bd-419e-b701-03b7a95b31d9",""
"3c5e2a8d-acab-4a18-95bf-e2f3649715bb","AccessRelationship","","","dd630d51-558b-4ccc-9091-5f0822ff4d02","ca733799-24ee-457f-9a7a-8ea0e5fc83e6",""
"3e529b65-d814-4713-a722-52481ea048cd","AccessRelationship","","","1f4dc672-97ff-4f00-8b2b-20e42d40daa5","5a713e08-04ff-482e-9a5a-4f8a17890f71",""
"3ebf72e2-eed0-4893-ab22-4d5021fdab47","AccessRelationship","","","491183c1-dd93-428b-a1aa-e8ba4bd51c57","5217608c-403c-4774-a042-ea9e9cd46d53",""
"3f30c4d4-3155-4101-8d7f-c41f9f8b4a30","AccessRelationship","","","ff04e457-13dc-40af-aad1-e4d200062beb","df0fca67-d83d-4612-8d24-f441ad59b7b5",""
"3f98bc57-7727-4d82-827b-c297bf97f051","AccessRelationship","","","6fab2289-0d98-43f7-98e5-516aa0e46709","30cb00ea-6a97-4838-9d40-3a918c2c161e",""
"40aef9ba-3100-412b-ad6f-19eae351d2c7","AccessRelationship","","","7747cee8-f983-4c1f-a0ee-fd35ab346e5d","af0d6bc8-3445-4910-8b6c-7cb4fc988a29",""
"41fce59b-4ae5-4886-83a8-6c15b98834da","AccessRelationship","","","13e19b84-beca-474c-8ab9-9d006c72bffb","5217608c-403c-4774-a042-ea9e9cd46d53",""
"446eb0c6-219c-4eb9-8ac6-de5c7e804f7d","AccessRelationship","","","7747cee8-f983-4c1f-a0ee-fd35ab346e5d","69a3f176-8d8e-4582-9e77-4a64812d5ec3",""
"4473f69e-b867-4401-8223-7394857e0fbf","AccessRelationship","","","029eec0c-36b5-42e0-8bed-96cd6d7182c4","3b0ecdf4-9356-439d-97d2-49d0ba3c3351",""
"44d7d256-abeb-4873-a67a-6819d3f80563","AccessRelationship","","","46416b34-95e9-4757-9c59-ca9f291ea39b","369a37e4-1d00-4514-b4ad-e7fa50386aa1",""
"44fa6efc-93c6-4688-a211-fce132ab681e","AccessRelationship","","","dd630d51-558b-4ccc-9091-5f0822ff4d02","3c6f619c-1b41-4465-9b4a-9c4296d88eb6",""
"4661a59a-ccd2-480d-862c-7f2f95223d6c","AccessRelationship","","","d25855a7-e8a3-4aa1-9801-7adcd555a4e8","df3d31fd-b3cb-4007-9ca1-354133b061d4",""
"46848254-d001-40dc-9475-054e876b2802","AccessRelationship","","","7095441f-861e-4a75-a5b7-5f65c9d58466","8929a81b-b9ae-46fc-a916-c495b55d74f2",""
"46ad2716-2834-4e6e-8b56-42c272a3805a","AccessRelationship","","","13e19b84-beca-474c-8ab9-9d006c72bffb","3b0ecdf4-9356-439d-97d2-49d0ba3c3351",""
"47b73575-bd25-414e-b1bd-9c92c2dc9389","AccessRelationship","","","13e0bed5-2e8c-4178-a392-b9b7080c92d6","b9b7530d-7ec8-4ea3-a0eb-c958a5d3e5f4",""
"47cec560-4f9c-4d16-94f1-1d835b296e73","AccessRelationship","","","be1b5c92-0387-4725-83aa-85e146694e2c","1f708dce-d754-4189-a82f-2c1b7b3e0616",""
"48a582c8-c95d-41b3-b45e-12cfb0639fd3","AccessRelationship","","","67584c24-782b-4a6e-a73e-1302dd306ed1","556efe37-961e-4bb2-aacc-5e3cffc946dd",""
"49805334-a391-4046-b60a-b6949edc944d","AccessRelationship","","","13e19b84-beca-474c-8ab9-9d006c72bffb","69a3f176-8d8e-4582-9e77-4a64812d5ec3",""
"4ac1657a-c3cc-44ad-8cff-a74beb7eea23","AccessRelationship","","","67584c24-782b-4a6e-a73e-1302dd306ed1","e22f055a-9433-4ee7-ae89-ecf17e132e79",""
"4b7061ab-a931-4827-971c-139fe86dde67","AccessRelationship","","","d25855a7-e8a3-4aa1-9801-7adcd555a4e8","d530c08e-86c5-4ed4-9493-8d1f6a253e42",""
"4ba34a3e-c5ad-4e14-bdb0-836663b0b6a6","AccessRelationship","","","258aa5cb-514c-4ab8-8cbc-494dd3f4f386","24938e6b-1736-4ec2-9581-66a19b89c89a",""
"4bcb3017-9f32-4fda-81a5-b35abac2501c","AccessRelationship","","","46416b34-95e9-4757-9c59-ca9f291ea39b","81b48bbc-5163-41b5-986d-f79cec1f99f8",""
"4cf2ecc0-68aa-4e1e-9cfc-23e484e430c0","AccessRelationship","","","af9e0d82-de0d-4bfd-93e7-1a3253e43e8c","33b69fd0-f296-45a7-b426-fc373103c301",""
"4de2cdd4-7e0f-431e-9c17-1f9a6fcdc9b9","AccessRelationship","","","b8ac0880-99a6-478a-bf9d-ea454b055bd1","c97c3a53-8622-4a96-bbf6-58c2014f22c4",""
"4e887e78-64a4-4975-937b-02c14acd3c40","AccessRelationship","","","d489ff5e-6c55-4351-bc61-5d2f7ff52e54","e3948655-b140-409e-ae79-bafb235f620c",""
"4e9698d6-b068-4afd-ae76-ab923dcaed2c","AccessRelationship","","","491183c1-dd93-428b-a1aa-e8ba4bd51c57","95d9105e-3d79-48bf-ad81-d34628503715",""
"4f5dcc29-94dc-4bd8-bc09-98dc473b05f0","AccessRelationship","","","46416b34-95e9-4757-9c59-ca9f291ea39b","6fb56e3e-f6da-4bbb-99e1-4faa6a94d14d",""
"50005547-56fe-4c82-ab62-66d485e6d574","AccessRelationship","","","992bbd31-9b6a-4185-96a4-2f9aba857ac1","b727070e-8310-4c55-a6b1-6f27809a0f93",""
"5006c723-0f81-4332-82a7-35dbacedf1fd","AccessRelationship","","","af9e0d82-de0d-4bfd-93e7-1a3253e43e8c","0011d823-78e2-4606-9b9e-09d8b02a08d1",""
"54012268-cead-426a-9100-f37768623046","AccessRelationship","","","491183c1-dd93-428b-a1aa-e8ba4bd51c57","2074c4a7-b0d7-4095-90a0-4a5e342e2068",""
"54a4ea7e-8a62-4c12-9968-4a3851810986","AccessRelationship","","","7095441f-861e-4a75-a5b7-5f65c9d58466","945a2e0b-374c-4014-b5e4-01c781ebde3c",""
"55c4558e-2234-437b-9108-8bcf4b52f44e","AccessRelationship","","","d25855a7-e8a3-4aa1-9801-7adcd555a4e8","80351b64-f201-4d42-97af-248475c50636",""
"55e198a5-2565-4f00-afd2-ef31b90f3eb1","AccessRelationship","","","1f4dc672-97ff-4f00-8b2b-20e42d40daa5","d799ed49-121c-489d-b3bb-e4b8df04ac13",""
"56b772e3-05f5-4c6d-aa82-c1bf1d6e6bf1","AccessRelationship","","","7095441f-861e-4a75-a5b7-5f65c9d58466","159bc10b-d17a-4007-8999-7e234ba9b341",""
"56b864dc-fdff-49b7-9a4b-40f8d36e5cfb","AccessRelationship","","","af9e0d82-de0d-4bfd-93e7-1a3253e43e8c","8b22cc29-784f-4c66-9e73-63662674efda",""
"56c87866-e612-4ffd-b3d0-5821a2190e54","AccessRelationship","","","9c83d5ef-01d7-4808-ad06-e4493fbf9cf6","f68f2ec1-2ad4-49d7-899a-beba9d69a3d2",""
